prbiotic_ID,ICD_ID,Weight
11848,4579,1
11848,4585,1
11848,4596,1
11848,4605,1
11848,4614,1
11848,4622,1
11848,4627,1
11848,4628,1
11848,4631,1
11848,4638,1
11848,4649,1
11848,4653,1
11848,4659,1
11848,4667,1
11848,4675,1
11848,4686,1
11848,4687,1
11848,4697,1
11848,4702,1
11848,4710,1
11848,4719,1
11848,4726,1
11848,4733,1
11848,4734,1
11848,4742,1
11848,4751,1
11848,577,1
11848,587,1
11848,594,1
11848,605,1
11848,614,1
11848,622,1
11848,630,1
11848,635,1
11848,641,1
11848,647,1
11848,654,1
11848,662,1
11848,671,1
11848,675,1
11848,682,1
11849,69,1
11849,4566,1
11849,4074,1
11849,9516,1
11849,4566,1
11850,69,1
11850,4566,1
11850,4273,1
11850,4284,1
11850,4287,1
11850,4293,1
11850,4304,1
11850,4315,1
11850,4323,1
11850,4330,1
11850,4339,1
11850,4344,1
11850,4355,1
11850,4360,1
11850,4369,1
11850,4379,1
11850,4383,1
11850,4386,1
11850,4397,1
11850,4398,1
11850,4408,1
11850,4418,1
11850,4428,1
11850,4438,1
11850,4448,1
11850,4449,1
11850,4460,1
11850,4464,1
11850,4465,1
11850,4466,1
11850,4473,1
11850,4480,1
11850,4487,1
11850,4491,1
11850,4501,1
11850,4505,1
11850,4509,1
11850,4513,1
11850,4518,1
11850,4526,1
11850,4533,1
11850,4540,1
11850,4549,1
11850,4558,1
11850,4564,1
11850,4572,1
11850,4579,1
11850,4585,1
11850,4596,1
11850,4605,1
11850,4614,1
11850,4622,1
11850,4627,1
11850,4628,1
11850,4631,1
11850,4638,1
11850,4649,1
11850,4653,1
11850,4659,1
11850,4667,1
11850,4675,1
11850,4686,1
11850,4687,1
11850,4697,1
11850,4702,1
11850,4710,1
11850,4719,1
11850,4726,1
11850,4733,1
11850,4734,1
11850,4742,1
11850,4751,1
11850,4558,1
11850,4566,1
11850,2092,1
11850,4566,1
11850,4566,1
11850,0,1
11850,4,1
11850,10,1
11850,16,1
11850,23,1
11850,34,1
11850,43,1
11850,54,1
11850,62,1
11850,69,1
11850,70,1
11850,78,1
11850,83,1
11850,93,1
11850,99,1
11850,107,1
11850,115,1
11850,122,1
11850,129,1
11850,135,1
11850,139,1
11850,144,1
11850,148,1
11850,154,1
11850,163,1
11850,169,1
11850,175,1
11850,176,1
11850,177,1
11850,178,1
11850,185,1
11850,190,1
11850,195,1
11850,204,1
11850,210,1
11850,219,1
11850,226,1
11850,231,1
11850,236,1
11850,237,1
11850,245,1
11850,252,1
11850,262,1
11850,270,1
11850,278,1
11850,281,1
11850,291,1
11850,292,1
11850,299,1
11850,300,1
11850,301,1
11850,305,1
11850,309,1
11850,312,1
11850,313,1
11850,314,1
11850,325,1
11850,331,1
11850,335,1
11850,341,1
11850,342,1
11850,346,1
11850,350,1
11850,356,1
11850,364,1
11850,365,1
11850,370,1
11850,377,1
11850,383,1
11850,387,1
11850,397,1
11850,402,1
11850,407,1
11850,408,1
11850,414,1
11850,418,1
11850,419,1
11850,420,1
11850,421,1
11850,430,1
11850,435,1
11850,436,1
11850,440,1
11850,446,1
11850,454,1
11850,6156,1
11851,69,1
11851,4566,1
11852,0,1
11852,4,1
11852,10,1
11852,16,1
11852,23,1
11852,34,1
11852,43,1
11852,54,1
11852,62,1
11852,69,1
11852,4564,1
11852,4273,1
11852,4284,1
11852,4287,1
11852,4293,1
11852,4304,1
11852,4315,1
11852,4323,1
11852,4330,1
11852,4339,1
11852,4344,1
11852,4355,1
11852,4360,1
11852,4369,1
11852,4379,1
11852,4383,1
11852,4386,1
11852,4397,1
11852,4398,1
11852,4408,1
11852,4418,1
11852,4428,1
11852,4438,1
11852,4448,1
11852,4449,1
11852,4460,1
11852,4464,1
